Date and Time,Lat,Long,FixQua,Sate,Alti,Speed,TrAng,HD,HDID,BattPer
2/22/21 17:39,35.113603,33.32552,1,5,214.1,1,189.87,4.42,27.3,Battery:87%
2/22/21 17:44,35.113603,33.32552,1,5,214.1,1,189.87,4.42,27.3,Battery:83%
2/22/21 17:49,35.113603,33.32552,1,5,214.1,1,189.87,4.42,27.3,Battery:78%
2/22/21 17:54,35.113597,33.325517,2,5,214.1,1,189.87,4.42,27.3,Battery:74%
2/22/21 17:59,35.113597,33.325517,1,5,214.1,1.01,191.68,4.42,27.3,Battery:70%
2/22/21 18:04,35.113592,33.325515,2,5,214,1.01,191.68,4.42,27.3,Battery:66%
2/22/21 18:09,35.113592,33.325515,1,5,214,1,192.26,4.42,27.3,Battery:62%
2/22/21 18:15,35.113577,33.325518,2,5,213.9,1,192.26,4.43,27.3,Battery:58%
2/22/21 18:20,35.113577,33.325518,1,5,213.9,1.04,188.47,4.43,27.3,Battery:55%
2/22/21 18:25,35.11357,33.325525,2,5,213.8,1.04,188.47,4.43,27.3,Battery:50%
2/22/21 18:30,35.11357,33.325525,1,5,213.8,1.02,180.8,4.43,27.3,Battery:46%
